Wavelength,PACS_100
53.33330154,3.72e-06
53.40449905,3.71e-06
53.47589874,3.89e-06
53.54750061,4.67e-06
53.61930084,3.99e-06
53.69130325,2.9e-06
53.76339722,3.07e-06
53.83580017,3.25e-06
53.90840149,3.26e-06
53.98110199,4.14e-06
54.05410004,4.69e-06
54.12720108,4.42e-06
54.20050049,4.8e-06
54.27409744,4.89e-06
54.34780121,3.69e-06
54.42179871,3.34e-06
54.4958992,3.82e-06
54.57030487,4.01e-06
54.64479828,6.6e-06
54.71960449,1.071e-05
54.79449463,1.193e-05
54.86970139,1.237e-05
54.94510269,1.311e-05
55.02060318,1.035e-05
55.09640503,8.09e-06
55.17240143,1.04e-05
55.24860001,1.282e-05
55.32499695,1.86e-05
55.40169525,3.165e-05
55.47850418,4.181e-05
55.5555954,4.89e-05
55.63280106,5.955e-05
55.71029663,5.866e-05
55.7879982,4.129e-05
55.86590195,2.643e-05
55.94410324,1.292e-05
56.0223999,8.3e-07
56.10100555,8.09e-06
56.17979431,3.313e-05
56.25880432,5.243e-05
56.33800507,7.518e-05
56.41749573,9.727e-05
56.49720383,9.498e-05
56.57710266,8.96e-05
56.65719604,8.652e-05
56.73759842,5.859e-05
56.81820297,3.56e-05
56.89899445,3.91e-05
56.98009491,2.942e-05
57.06129837,1.289e-05
57.14289856,2.035e-05
57.22460175,2.769e-05
57.30659866,3.167e-05
57.38880157,5.006e-05
57.4712944,5.148e-05
57.55400467,3.739e-05
57.63690186,5.15e-05
57.72010422,6.644e-05
57.80350113,5.626e-05
57.88709641,6.256e-05
57.97100067,8.77e-05
58.05519867,0.00012209
58.13949966,0.00019412
58.22419739,0.00027256
58.30899811,0.00029714
58.39420319,0.00029164
58.47949982,0.000289
58.56520462,0.00027978
58.65100098,0.00027034
58.73720169,0.00025326
58.82350159,0.00021611
58.9101944,0.00019521
58.99710083,0.00020067
59.08420563,0.00019513
59.17160416,0.00017182
59.25930405,0.000152
59.34719849,0.00015605
59.4353981,0.00018727
59.5237999,0.00021582
59.61249924,0.00021023
59.70149612,0.00019125
59.79069901,0.00018947
59.88019943,0.00020589
59.97000504,0.00021997
60.06010056,0.00019996
60.15039825,0.00017051
60.24099731,0.0001912
60.33180237,0.00022073
60.42300034,0.00021079
60.51440048,0.00019793
60.60609818,0.00018962
60.69800186,0.00020543
60.79029846,0.00032725
60.88280487,0.0004906
60.97560501,0.00057578
61.06869888,0.00062308
61.16209793,0.00062355
61.25569916,0.00050343
61.34970093,0.00037095
61.44390488,0.00027725
61.53850174,0.00015112
61.63330078,0.00011638
