Wavelength,PLANKC_2100
1.3638E+03,2.7598E-04
1.3635E+03,3.2385E-04
1.3632E+03,3.7445E-04
1.3629E+03,4.2297E-04
1.3626E+03,4.6480E-04
1.3623E+03,4.9598E-04
1.3620E+03,5.1354E-04
1.3617E+03,5.1585E-04
1.3613E+03,5.0273E-04
1.3610E+03,4.7548E-04
1.3607E+03,4.3674E-04
1.3605E+03,3.5822E-04
1.3604E+03,3.9025E-04
1.3601E+03,3.4049E-04
1.3598E+03,2.9223E-04
1.3595E+03,2.5010E-04
1.3592E+03,2.1812E-04
1.3589E+03,1.9932E-04
1.3586E+03,1.9545E-04
1.3583E+03,2.0683E-04
1.3579E+03,2.3229E-04
1.3576E+03,2.6931E-04
1.3573E+03,3.1426E-04
1.3570E+03,3.6273E-04
1.3567E+03,4.0998E-04
1.3564E+03,4.5141E-04
1.3561E+03,4.8295E-04
1.3558E+03,5.0150E-04
1.3555E+03,5.0522E-04
1.3552E+03,4.9367E-04
1.3549E+03,4.6792E-04
1.3546E+03,4.3038E-04
1.3543E+03,3.8460E-04
1.3539E+03,3.3492E-04
1.3536E+03,2.8606E-04
1.3533E+03,2.4264E-04
1.3530E+03,2.0877E-04
1.3527E+03,1.8764E-04
1.3524E+03,1.8120E-04
1.3521E+03,1.8999E-04
1.3518E+03,2.1306E-04
1.3515E+03,2.4813E-04
1.3514E+03,3.3717E-04
1.3512E+03,2.9172E-04
1.3509E+03,3.3956E-04
1.3506E+03,3.8695E-04
1.3503E+03,4.2924E-04
1.3500E+03,4.6228E-04
1.3497E+03,4.8280E-04
1.3494E+03,4.8874E-04
1.3491E+03,4.7944E-04
1.3488E+03,4.5571E-04
1.3485E+03,4.1973E-04
1.3482E+03,3.7488E-04
1.3478E+03,3.2538E-04
1.3475E+03,2.7588E-04
1.3472E+03,2.3105E-04
1.3469E+03,1.9509E-04
1.3466E+03,1.7136E-04
1.3463E+03,1.6203E-04
1.3460E+03,1.6787E-04
1.3457E+03,1.8823E-04
1.3454E+03,2.2103E-04
1.3451E+03,2.6300E-04
1.3448E+03,3.1000E-04
1.3445E+03,3.5742E-04
1.3442E+03,4.0059E-04
1.3439E+03,4.3527E-04
1.3436E+03,4.5805E-04
1.3433E+03,4.6665E-04
1.3430E+03,4.6019E-04
1.3427E+03,4.3922E-04
1.3424E+03,4.0571E-04
1.3423E+03,3.0570E-04
1.3421E+03,3.6282E-04
1.3418E+03,3.1464E-04
1.3415E+03,2.6577E-04
1.3412E+03,2.2086E-04
