Wavelength,PLANCK_850
2.1030E+03,2.1592E-16
2.0955E+03,2.2370E-16
2.0882E+03,2.3179E-16
2.0808E+03,2.4021E-16
2.0736E+03,2.4898E-16
2.0663E+03,2.5812E-16
2.0592E+03,2.6763E-16
2.0520E+03,2.7754E-16
2.0450E+03,2.8786E-16
2.0379E+03,2.9862E-16
2.0310E+03,3.0983E-16
2.0240E+03,3.2151E-16
2.0171E+03,3.3370E-16
2.0103E+03,3.4640E-16
2.0035E+03,3.5965E-16
1.9968E+03,3.7347E-16
1.9901E+03,3.8788E-16
1.9834E+03,4.0292E-16
1.9768E+03,4.1862E-16
1.9702E+03,4.3500E-16
1.9637E+03,4.5210E-16
1.9572E+03,4.6996E-16
1.9508E+03,4.8861E-16
1.9444E+03,5.0808E-16
1.9380E+03,5.2843E-16
1.9317E+03,5.4969E-16
1.9254E+03,5.7190E-16
1.9192E+03,5.9512E-16
1.9130E+03,6.1939E-16
1.9069E+03,6.4476E-16
1.9008E+03,6.7130E-16
1.8947E+03,6.9905E-16
1.8887E+03,7.2808E-16
1.8827E+03,7.5846E-16
1.8767E+03,7.9025E-16
1.8708E+03,8.2352E-16
1.8649E+03,8.5835E-16
1.8591E+03,8.9482E-16
1.8532E+03,9.3301E-16
1.8475E+03,9.7302E-16
1.8417E+03,1.0149E-15
1.8360E+03,1.0588E-15
1.8304E+03,1.1049E-15
1.8247E+03,1.1531E-15
1.8191E+03,1.2037E-15
1.8136E+03,1.2567E-15
1.8080E+03,1.3123E-15
1.8025E+03,1.3706E-15
1.7971E+03,1.4319E-15
1.7917E+03,1.4961E-15
1.7863E+03,1.5635E-15
1.7809E+03,1.6343E-15
1.7756E+03,1.7086E-15
1.7703E+03,1.7867E-15
1.7650E+03,1.8686E-15
1.7598E+03,1.9548E-15
1.7546E+03,2.0453E-15
1.7494E+03,2.1404E-15
1.7442E+03,2.2404E-15
1.7391E+03,2.3456E-15
1.7340E+03,2.4562E-15
1.7290E+03,2.5725E-15
1.7239E+03,2.6949E-15
1.7190E+03,2.8237E-15
1.7140E+03,2.9593E-15
1.7090E+03,3.1020E-15
1.7041E+03,3.2523E-15
1.6993E+03,3.4106E-15
1.6944E+03,3.5773E-15
1.6896E+03,3.7530E-15
1.6848E+03,3.9382E-15
1.6800E+03,4.1333E-15
1.6752E+03,4.3391E-15
1.6705E+03,4.5561E-15
1.6658E+03,4.7850E-15
1.6612E+03,5.0265E-15
1.6565E+03,5.2813E-15
1.6519E+03,5.5503E-15
1.6473E+03,5.8343E-15
1.6428E+03,6.1341E-15
1.6382E+03,6.4509E-15
1.6337E+03,6.7854E-15
1.6292E+03,7.1390E-15
1.6248E+03,7.5127E-15
1.6203E+03,7.9077E-15
1.6159E+03,8.3254E-15
1.6115E+03,8.7672E-15
1.6072E+03,9.2346E-15
1.6028E+03,9.7291E-15
1.5985E+03,1.0253E-14
1.5942E+03,1.0807E-14
1.5899E+03,1.1394E-14
1.5857E+03,1.2015E-14
1.5814E+03,1.2674E-14
1.5772E+03,1.3371E-14
1.5730E+03,1.4111E-14
1.5689E+03,1.4895E-14
1.5647E+03,1.5726E-14
1.5606E+03,1.6609E-14
1.5565E+03,1.7544E-14
1.5525E+03,1.8537E-14
1.5484E+03,1.9592E-14
1.5444E+03,2.0711E-14
1.5404E+03,2.1900E-14
1.5364E+03,2.3163E-14
1.5324E+03,2.4505E-14
1.5284E+03,2.5932E-14
1.5245E+03,2.7449E-14
1.5206E+03,2.9062E-14
1.5167E+03,3.0778E-14
1.5129E+03,3.2604E-14
1.5090E+03,3.4547E-14
1.5052E+03,3.6616E-14
1.5014E+03,3.8819E-14
1.4976E+03,4.1166E-14
1.4938E+03,4.3667E-14
1.4900E+03,4.6332E-14
1.4863E+03,4.9173E-14
1.4826E+03,5.2204E-14
1.4789E+03,5.5436E-14
1.4752E+03,5.8885E-14
1.4716E+03,6.2566E-14
1.4679E+03,6.6496E-14
1.4643E+03,7.0694E-14
1.4607E+03,7.5178E-14
1.4571E+03,7.9969E-14
1.4535E+03,8.5091E-14
1.4500E+03,9.0567E-14
1.4464E+03,9.6424E-14
1.4429E+03,1.0269E-13
1.4394E+03,1.0940E-13
1.4359E+03,1.1658E-13
1.4325E+03,1.2427E-13
1.4290E+03,1.3250E-13
1.4256E+03,1.4133E-13
1.4222E+03,1.5079E-13
1.4188E+03,1.6093E-13
1.4154E+03,1.7181E-13
1.4120E+03,1.8349E-13
1.4086E+03,1.9602E-13
1.4053E+03,2.0947E-13
1.4020E+03,2.2392E-13
1.3987E+03,2.3945E-13
1.3954E+03,2.5613E-13
1.3921E+03,2.7407E-13
1.3888E+03,2.9337E-13
1.3856E+03,3.1413E-13
1.3824E+03,3.3647E-13
1.3792E+03,3.6052E-13
1.3760E+03,3.8643E-13
1.3728E+03,4.1434E-13
1.3696E+03,4.4442E-13
1.3664E+03,4.7685E-13
1.3633E+03,5.1184E-13
1.3602E+03,5.4959E-13
1.3571E+03,5.9033E-13
1.3540E+03,6.3433E-13
1.3509E+03,6.8186E-13
1.3478E+03,7.3323E-13
1.3448E+03,7.8875E-13
1.3417E+03,8.4881E-13
1.3387E+03,9.1378E-13
1.3357E+03,9.8410E-13
1.3327E+03,1.0602E-12
1.3297E+03,1.1427E-12
1.3267E+03,1.2321E-12
1.3237E+03,1.3290E-12
1.3208E+03,1.4341E-12
1.3179E+03,1.5482E-12
1.3149E+03,1.6720E-12
1.3120E+03,1.8064E-12
1.3091E+03,1.9525E-12
1.3063E+03,2.1113E-12
1.3034E+03,2.2839E-12
1.3005E+03,2.4717E-12
1.2977E+03,2.6761E-12
1.2948E+03,2.8987E-12
1.2920E+03,3.1412E-12
1.2892E+03,3.4056E-12
1.2864E+03,3.6938E-12
1.2836E+03,4.0082E-12
1.2809E+03,4.3514E-12
1.2781E+03,4.7261E-12
1.2754E+03,5.1356E-12
1.2726E+03,5.5831E-12
1.2699E+03,6.0726E-12
1.2672E+03,6.6082E-12
1.2645E+03,7.1945E-12
1.2618E+03,7.8367E-12
1.2591E+03,8.5406E-12
1.2564E+03,9.3123E-12
1.2538E+03,1.0159E-11
1.2511E+03,1.1088E-11
1.2485E+03,1.2109E-11
1.2459E+03,1.3231E-11
1.2433E+03,1.4464E-11
1.2407E+03,1.5821E-11
1.2381E+03,1.7315E-11
1.2355E+03,1.8960E-11
1.2329E+03,2.0773E-11
1.2304E+03,2.2772E-11
1.2278E+03,2.4978E-11
1.2253E+03,2.7414E-11
1.2228E+03,3.0105E-11
1.2202E+03,3.3080E-11
1.2177E+03,3.6371E-11
1.2152E+03,4.0013E-11
1.2128E+03,4.4048E-11
1.2103E+03,4.8520E-11
1.2078E+03,5.3481E-11
1.2054E+03,5.8986E-11
1.2029E+03,6.5100E-11
1.2005E+03,7.1896E-11
1.1981E+03,7.9455E-11
1.1956E+03,8.7868E-11
1.1932E+03,9.7240E-11
1.1908E+03,1.0769E-10
1.1885E+03,1.1934E-10
1.1861E+03,1.3235E-10
1.1837E+03,1.4688E-10
1.1814E+03,1.6314E-10
1.1790E+03,1.8133E-10
1.1767E+03,2.0170E-10
1.1743E+03,2.2453E-10
1.1720E+03,2.5015E-10
1.1697E+03,2.7891E-10
1.1674E+03,3.1124E-10
1.1651E+03,3.4760E-10
1.1628E+03,3.8854E-10
1.1605E+03,4.3467E-10
1.1583E+03,4.8669E-10
1.1560E+03,5.4544E-10
1.1538E+03,6.1182E-10
1.1515E+03,6.8692E-10
1.1493E+03,7.7195E-10
1.1471E+03,8.6834E-10
1.1449E+03,9.7771E-10
1.1427E+03,1.1020E-09
1.1405E+03,1.2432E-09
1.1383E+03,1.4041E-09
1.1361E+03,1.5874E-09
1.1339E+03,1.7965E-09
1.1318E+03,2.0354E-09
1.1296E+03,2.3087E-09
1.1274E+03,2.6216E-09
1.1253E+03,2.9804E-09
1.1232E+03,3.3923E-09
1.1211E+03,3.8657E-09
1.1189E+03,4.4108E-09
1.1168E+03,5.0390E-09
1.1147E+03,5.7642E-09
1.1126E+03,6.6025E-09
1.1106E+03,7.5729E-09
1.1085E+03,8.6981E-09
1.1064E+03,1.0005E-08
1.1044E+03,1.1524E-08
1.1023E+03,1.3294E-08
1.1003E+03,1.5360E-08
1.0982E+03,1.7775E-08
1.0962E+03,2.0602E-08
1.0942E+03,2.3919E-08
1.0922E+03,2.7818E-08
1.0901E+03,3.2409E-08
1.0881E+03,3.7826E-08
1.0862E+03,4.4231E-08
1.0842E+03,5.1820E-08
1.0822E+03,6.0831E-08
1.0802E+03,7.1556E-08
1.0783E+03,8.4349E-08
1.0763E+03,9.9646E-08
1.0743E+03,1.1798E-07
1.0724E+03,1.4003E-07
1.0705E+03,1.6659E-07
1.0685E+03,1.9868E-07
1.0666E+03,2.3759E-07
1.0647E+03,2.8488E-07
1.0628E+03,3.4254E-07
1.0609E+03,4.1310E-07
1.0590E+03,4.9972E-07
1.0571E+03,6.0644E-07
1.0552E+03,7.3843E-07
1.0534E+03,9.0231E-07
1.0515E+03,1.1066E-06
1.0496E+03,1.3624E-06
1.0478E+03,1.6843E-06
1.0459E+03,2.0911E-06
1.0441E+03,2.6080E-06
1.0422E+03,3.2684E-06
1.0404E+03,4.1171E-06
1.0386E+03,5.2145E-06
1.0368E+03,6.6429E-06
1.0350E+03,8.5158E-06
1.0332E+03,1.0990E-05
1.0314E+03,1.4287E-05
1.0296E+03,1.8721E-05
1.0278E+03,2.4742E-05
1.0260E+03,3.3011E-05
1.0242E+03,4.4505E-05
1.0225E+03,6.0707E-05
1.0207E+03,8.3899E-05
1.0190E+03,1.1770E-04
1.0172E+03,1.6798E-04
1.0155E+03,2.4464E-04
1.0137E+03,3.6506E-04
1.0120E+03,5.6132E-04
1.0103E+03,8.9702E-04
1.0086E+03,1.5105E-03
1.0069E+03,2.7489E-03
1.0051E+03,5.7163E-03
1.0034E+03,2.7708E-02
1.0018E+03,4.2975E-02
1.0001E+03,6.6258E-02
9.9838E+02,8.7513E-02
9.9670E+02,1.0867E-01
