Table 1 
Measured WISE Properties of the SINGS/KINGFISH Sample


Galaxy	W1	W1f	W2	W2f	W3	W3f	W4	W4f	Radius	b/a	P.A.	
	(mag)		(mag)		(mag)		(mag)		(arcsec)		(deg.)	
NGC5474	8.646 +or- 0.011	0	8.609 +or- 0.02	0	6.083 +or- 0.051	10	4.28 +or- 0.086	10	155.1	0.85	1.1	
NGC5713	7.966 +or- 0.011	0	7.75 +or- 0.019	0	3.656 +or- 0.013	10	1.31 +or- 0.013	10	112.14	0.883	9.2	
NGC5866	6.62 +or- 0.011	0	6.603 +or- 0.019	0	5.205 +or- 0.019	10	3.864 +or- 0.036	10	283.19	0.555	122.3	
IC4710	9.369 +or- 0.012	0	9.333 +or- 0.022	0	7.194 +or- 0.037	0	4.815 +or- 0.083	0	130.61	0.75	115.1	
NGC6822	5.85 +or- 0.011	0	5.843 +or- 0.019	0	3.621 +or- 0.086	10	1.203 +or- 0.092	10	545.48	0.789	136.9	
NGC6946	5.015 +or- 0.011	0	4.839 +or- 0.019	0	0.928 +or- 0.011	10	-1.066 +or- 0.012	10	446.82	0.909	51.5	
NGC7331	5.702 +or- 0.011	0	5.61 +or- 0.019	0	2.329 +or- 0.012	10	0.627 +or- 0.015	10	373.35	0.426	172.0	
NGC7552	7.132 +or- 0.011	0	6.733 +or- 0.019	0	2.577 +or- 0.013	10	-0.408 +or- 0.012	10	152.04	0.8	104.8	
NGC7793	6.518 +or- 0.011	0	6.428 +or- 0.019	0	3.171 +or- 0.014	10	1.492 +or- 0.018	10	336.27	0.617	97.9	
IC0342	3.974 +or- 0.012	0	3.892 +or- 0.02	0	0.107 +or- 0.034	10	-1.833 +or- 0.012	10	778.51	0.946	75.5	
M101	5.215 +or- 0.011	0	5.1 +or- 0.019	0	1.557 +or- 0.017	10	-0.384 +or- 0.024	10	870.2	0.924	33.3	
NGC5398	9.772 +or- 0.012	0	9.744 +or- 0.022	0	6.598 +or- 0.025	10	3.644 +or- 0.031	10	101.89	0.642	178.4	
NGC3077	6.797 +or- 0.011	0	6.706 +or- 0.019	0	4.002 +or- 0.024	10	1.58 +or- 0.02	10	351.94	0.734	38.5	
NGC2146	6.383 +or- 0.011	0	6.041 +or- 0.019	0	1.781 +or- 0.014	10	-0.778 +or- 0.011	10	250.61	0.552	126.2	
NGC3034	4.066 +or- 0.012	0	3.611 +or- 0.021	0	-0.973 +or- 0.011	10	-4.142 +or- 0.011	10	363.32	0.787	54.1	
Note. Integrated fluxes. The flag for each band indicates if the measurement was from: (0) $1\sigma $ isophotal aperture of semimajor axis "Radius," axis ratio, and position angle, or (10) the total flux combining the isophotal with the radial SB extrapolation, or (1) the point-source measurement from the ALLWISE catalog.
